,brand_name,Ton,Electricity_Stars,ratings,no_of_ratings,discount_price,actual_price,more_inf0,image,link
10,Daikin,1,3,4.2,558,32990.0,48200.0,"['Inverter', 'Split', 'AC', '(Copper,', 'PM', '2.5', 'Filter,', 'Triple', 'Display,', 'Dew', 'Clean', 'Technology,', 'Coanda', 'Airflow,', '2023', 'M...']",https://m.media-amazon.com/images/I/51Nff1pJMqL._AC_UL320_.jpg,https://www.amazon.in/Daikin-Inverter-Display-Technology-MTKL35U/dp/B0BK28T4BZ/ref=sr_1_17?qid=1679134237&s=kitchen&sr=1-17
11,Daikin,1.5,5,4.1,730,44990.0,67200.0,"['Inverter', 'Split', 'AC', '(Copper,', 'PM', '2.5', 'Filter,', '2022', 'Model,', 'MTKM50U,', 'White)']",https://m.media-amazon.com/images/I/41BgAG0qRaL._AC_UL320_.jpg,https://www.amazon.in/Daikin-Inverter-Copper-Filter-MTKM50U/dp/B09R4RYCJ4/ref=sr_1_18?qid=1679134237&s=kitchen&sr=1-18
12,Panasonic,1.5,5,4.3,5073,45990.0,63400.0,"['Wi-Fi', 'Inverter', 'Smart', 'Split', 'AC', '(Copper', 'Condenser,', '7', 'in', '1', 'Convertible', 'with', 'additional', 'AI', 'Mode,', '4', 'Wa...']",https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-NU18YKY5W/dp/B0BRJ1973T/ref=sr_1_19?qid=1679134237&s=kitchen&sr=1-19
13,Carrier,1.5,5,4.0,568,41999.0,78490.0,"['AI', 'Flexicool', 'Inverter', 'Split', 'AC', '(Copper,', 'Convertible', '6-in-1', 'Cooling,Dual', 'Filtration', 'with', 'HD', '&', 'PM', '2.5...']",https://m.media-amazon.com/images/I/61JtwWcAcoL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Flexicool-Convertible-Filtration-CAI18ES5R33F0/dp/B0BR59SY4M/ref=sr_1_20?qid=1679134237&s=kitchen&sr=1-20
14,Whirlpool,1.5,3,3.9,3670,31990.0,62000.0,"['Flexicool', 'Inverter', 'Split', 'AC', '(Copper,', 'Convertible', '4-in-1', 'Cooling', 'Mode,', 'HD', 'Filter', '2023', 'Model,', 'S3K1...']",https://m.media-amazon.com/images/I/51vyGNOskVL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Flexicool-Inverter-Convertible-Cooling/dp/B0BR5RF5KT/ref=sr_1_21?qid=1679134237&s=kitchen&sr=1-21
15,Samsung,1.5,3,3.8,312,35499.0,60990.0,"['Inverter', 'Split', 'AC', '(Copper,', 'Convertible', '5-in-1', 'Cooling', 'Mode,', 'Easy', 'Filter', 'Plus', '(Anti-Bacteria),', '2023', '...']",https://m.media-amazon.com/images/I/51dPET0mdFL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-Bacteria-AR18CYLZABE/dp/B0BRQCYQHK/ref=sr_1_22?qid=1679134237&s=kitchen&sr=1-22
16,Lloyd,1.0,5,4.1,88,34000.0,57990.0,"['Inverter', 'Split', 'Ac', '(5', 'In', '1', 'Convertible,', 'Copper,', 'Anti-Viral', '+', 'Pm', '2.5', 'Filter,', '2023', 'Model,', 'White', 'With', 'Chr...']",https://m.media-amazon.com/images/I/31IXlxIPsOL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS12I5FWBEV/dp/B0BRKXFVVJ/ref=sr_1_23?qid=1679134237&s=kitchen&sr=1-23
17,Godrej,1.5,5,4.1,432,37490.0,54900.0,"['5-In-1', 'Convertible,', 'Inverter', 'Split', 'AC', '(100%', 'Copper,', 'Heavy', 'Duty', 'Cooling', 'at', '52°C,', '2023', 'Model,AC', '1.5T', 'E...']",https://m.media-amazon.com/images/I/51HEnpDyVpL._AC_UL320_.jpg,https://www.amazon.in/Godrej-Convertible-1-5T-18IINV5R32-WWA/dp/B0BP7SY16R/ref=sr_1_24?qid=1679134237&s=kitchen&sr=1-24
18,Godrej,1,3,3.9,268,29490.0,42900.0,"['Inverter', 'Split', 'Ac', 'Model', '2023', '(100%', 'Copper,5-In-1', 'Convertible,', 'Ac', '1T', 'Ei', '12Tinv3R32-Gwa', 'Split,', 'White)']",https://m.media-amazon.com/images/I/41kGqW4aeML._AC_UL320_.jpg,https://www.amazon.in/Godrej-Convertible-Split-AC-12TINV3R32-GWA/dp/B0BN37ZCF7/ref=sr_1_25?qid=1679134237&s=kitchen&sr=1-25
19,Daikin,1.5,3,3.5,2,39499.0,58400.0,"['Inverter', 'Split', 'AC', '(Copper,', 'PM', '2.5', 'Filter,', 'Triple', 'Display,', 'Dew', 'Clean', 'Technology,', 'Coanda', 'Airflow,', 'MTKL...']",https://m.media-amazon.com/images/I/41O8pnwGG+L._AC_UL320_.jpg,https://www.amazon.in/Daikin-Inverter-Display-Technology-MTKL50U/dp/B0BK1KS6ZD/ref=sr_1_26?qid=1679134237&s=kitchen&sr=1-26
20,Blue,Star,Ton,3.9,700,35990.0,62250.0,"['Star', 'Convertible', '4', 'in', '1', 'Cooling', 'Inverter', 'Split', 'AC', '(Copper,', 'Multi', 'Sensors,', 'Stabalizer', 'Free', 'Operation,', 'D...']",https://m.media-amazon.com/images/I/515BpZfhH1L._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Inverter-Convertible-IA318FNU/dp/B09RG2SZVX/ref=sr_1_27?qid=1679134237&s=kitchen&sr=1-27
21,LG,1.5,2,4.0,540,33490.0,62990.0,"['DUAL', 'Inverter', 'Split', 'AC', '(Copper,', 'Convertible', '4-in-1', 'Cooling,', 'HD', 'Filter', 'with', 'Anti-virus', 'Protection,', '2023', 'M...']",https://m.media-amazon.com/images/I/511JKTNA+7L._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-virus-Protection-RS-Q18ZNVE/dp/B0BPYKMM2M/ref=sr_1_28?qid=1679134237&s=kitchen&sr=1-28
22,LG,1.5,4,4.0,258,42490.0,71990.0,"['AI', 'DUAL', 'Inverter', 'Split', 'AC', '(Copper,', 'Super', 'Convertible', '6-in-1', 'Cooling,', 'HD', 'Filter', 'with', 'Anti-Virus', 'Protectio...']",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q19ENYE1/dp/B0BQM6SPBH/ref=sr_1_29?qid=1679134237&s=kitchen&sr=1-29
23,Panasonic,1,5,4.3,2178,39990.0,54600.0,"['Wi-Fi', 'Inverter', 'Smart', 'Split', 'AC', '(Copper', 'Condenser,', '7', 'in', '1', 'Convertible', 'with', 'additional', 'AI', 'Mode,', '4', 'Way', '...']",https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-NU12YKY5W/dp/B0BRHYBC3D/ref=sr_1_30?qid=1679134237&s=kitchen&sr=1-30
24,Lloyd,1.5,3,3.8,245,27440.0,47990.0,"['Fixed', 'Speed', 'Window', 'Ac', '(Copper,', '2023', 'Model,', 'White', 'With', 'Silver', 'Deco', 'Strip,', 'Glw18C3Ywsew)']",https://m.media-amazon.com/images/I/81qXJbtSA6L._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Window-Copper-Silver-GLW18C3YWSEW/dp/B0BRKXY81Z/ref=sr_1_28?qid=1679134239&s=kitchen&sr=1-28
25,Samsung,1.5,5,4.1,1444,43599.0,72990.0,"['Inverter', 'Split', 'AC', '(Copper,', 'Convertible', '5-in-1', 'Cooling', 'Mode,', 'Anti-Bacteria,', '2023', 'Model', 'AR18CYNZABE', 'W...']",https://m.media-amazon.com/images/I/51XI2FLjJ4L._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-Bacteria-AR18CYNZABE/dp/B0BRQD9Y92/ref=sr_1_29?qid=1679134239&s=kitchen&sr=1-29
26,Voltas,1.5,5,3.8,360,36700.0,49990.0,"['Inverter', 'Window', 'AC', '(Copper,', '2-in-1', 'Adjustable', 'Mode,', '2023', 'Model,', '185V', 'Vertis', 'Elite,', 'White)']",https://m.media-amazon.com/images/I/61suRUG6A+L._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-Inverter-Window-Copper/dp/B0BBFX3S2L/ref=sr_1_30?qid=1679134239&s=kitchen&sr=1-30
27,Samsung,1,3,4.0,38,31999.0,50990.0,"['Inverter', 'Split', 'Ac', '(Copper,', 'Convertible', '5-In-1', 'Cooling', 'Mode,', 'Easy', 'Filter', 'Plus', '(Anti-Bacteria),', '2023', 'Mo...']",https://m.media-amazon.com/images/I/51iSjRHY6EL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-Bacteria-AR12CYLZABE/dp/B0BRQ9VCT7/ref=sr_1_31?qid=1679134239&s=kitchen&sr=1-31
28,LG,1.0,5,4.2,1208,32480.0,75990.0,"['DUAL', 'Inverter', 'Wi-Fi', 'Window', 'AC', '(Copper,', 'Convertible', '4-in-1', 'cooling,', 'PW-Q12WUZA,', '2022', 'Model,', 'HD', 'Filter,', 'Wh...']",https://m.media-amazon.com/images/I/71WuTUFvmUL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Convertible-cooling-PW-Q12WUZA/dp/B09PZ33S3X/ref=sr_1_32?qid=1679134239&s=kitchen&sr=1-32
29,Godrej,1.5,3,3.9,341,32490.0,46900.0,"['5-In-1', 'Convertible,', 'Inverter', 'Split', 'AC', '(100%', 'Copper,I-Sense,', '2023', 'Model,', 'AC', '1.5T', 'EI', '18TINV3R32-GWA/AC...']",https://m.media-amazon.com/images/I/41kGqW4aeML._AC_UL320_.jpg,https://www.amazon.in/Godrej-Convertible-1-5T-18TINV3R32-GWA-18TINV3R32-GWB/dp/B0BN37L5KM/ref=sr_1_33?qid=1679134239&s=kitchen&sr=1-33
30,Voltas,2,3,4.6,3,44990.0,79990.0,"['Inverter', 'Split', 'AC(Copper,', '4-in-1', 'Adjustable', 'Mode,', 'Anti-dust', 'Filter,', '2023', 'Model,', '243V', 'Vectra', 'Elite,', 'Wh...']",https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFTT3YL/ref=sr_1_34_mod_primary_new?qid=1679134239&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-34
31,Samsung,1.5,3,3.5,15,37699.0,62990.0,"['Wi-fi', 'Enabled,', 'Wind-Free', 'Technology', 'Inverter', 'Split', 'AC', '(Copper,', 'Convertible', '5-in-1', 'Cooling', 'Mode,', 'Ant...']",https://m.media-amazon.com/images/I/71kIl8z3SJL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Technology-Convertible-Anti-Bacteria-AR18CYLANWK/dp/B0BRQB5SKS/ref=sr_1_35?qid=1679134239&s=kitchen&sr=1-35
32,Whirlpool,1.0,3,3.9,925,29990.0,57700.0,"['Flexicool', 'Inverter', 'Split', 'AC', '(Copper,', 'Convertible', '4-in-1', 'Cooling', 'Mode,', 'HD', 'Filter', '2023', 'Model,', 'S3K1...']",https://m.media-amazon.com/images/I/51vyGNOskVL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Flexicool-Inverter-Convertible-Cooling/dp/B0BR5RST2X/ref=sr_1_36?qid=1679134239&s=kitchen&sr=1-36
